"Broad7_geneID"	"MIPS description"	"FunCat"	"Pfam"	"SignalP"	"ID25"	"ID30"	"ID35"
"NCU05691"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU05710"	"related to Tid(56) protein (DnaJ homolog)"	"32 CELL RESCUE, DEFENSE AND VIRULENCE_32.01 stress response"	";DnaJ;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU05715"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";PX;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU07591"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";PMP22_Claudin;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU07593"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";zf-C2H2;zf-C2H2;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"N_Evol"
"NCU07596"	"related to tol protein"	"34 INTERACTION WITH THE ENVIRONMENT_34.11 cellular sensing and response to external stimulus_34.11.03 chemoperception and response_34.11.03.07 pheromone response, mating-type determination, sex-specific proteins"	";HET;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU07601"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU07603"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU07604"	"related to XAP-5 protein"	"98 CLASSIFICATION NOT YET CLEAR-CUT"	";XAP5;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU07607"	"related to carboxylic acid transporter protein"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.03 C-compound and carbohydrate transport"	";LacY_symp;MFS_1;Sugar_tr;7tm_4;DctM;Branch_AA_trans;NicO;WCOR413;HlyIII;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"B_Evol"
"NCU07620"	"related to transmembrane transporter Liz1p"	"10 CELL CYCLE AND DNA PROCESSING_10.03 cell cycle_10.03.01 mitotic cell cycle and cell cycle control_10.03.03 cytokinesis (cell division) /septum formation and hydrolysis_20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.03 C-compound and carbohydrate transport_70 SUBCELLULAR LOCALIZATION_70.02 eukaryotic plasma membrane / membrane attached"	";MFS_1;"	"Non-secretory protein"	"B_Evol"	"B_Evol"	"B_Evol"
"NCU07623"	"probable 4-aminobutyrate aminotransferase"	"01 METABOLISM_01.01 amino acid metabolism_01.01.11 metabolism of the pyruvate family (alanine, isoleucine, leucine, valine) and D-alanine_01.01.11.01 metabolism of alanine"	";Aminotran_3;Aminotran_1_2;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU07626"	"conserved hypothetical protein"	"01 METABOLISM_01.04 phosphate metabolism_01.05 C-compound and carbohydrate metabolism"	";NACHT;SKI;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"B_Evol"
"NCU07636"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU08404"	"related to coenzyme a synthetase"	"01 METABOLISM_01.07 metabolism of vitamins, cofactors, and prosthetic groups"	";AMP-binding;DUF1939;PP-binding;UPF0233;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"B_Evol"
"NCU08408"	"probable protein BTN1"	"34 INTERACTION WITH THE ENVIRONMENT_34.01 homeostasis_34.01.01 homeostasis of cations_34.01.01.03 homeostasis of protons_70 SUBCELLULAR LOCALIZATION_70.25 vacuole or lysosome"	";DctM;7tm_1;CLN3;MFS_1;Nucleoside_tran;BPD_transp_1;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU08412"	"related to beta-mannanase"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_01.05.02 sugar, glucoside, polyol and carboxylate metabolism_01.05.02.07 sugar, glucoside, polyol and carboxylate catabolism"	";Cellulase;Glyco_hydro_42;"	"Signal peptide"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU08415"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU08394"	"related to chitinase"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_01.05.03 polysaccharide metabolism"	";Glyco_hydro_18;Intimin_C;Vicilin_N;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU08395"	"probable spliceosomal U5 snRNP-specific 15 kDa protein"	"10 CELL CYCLE AND DNA PROCESSING_10.03 cell cycle_10.03.01 mitotic cell cycle and cell cycle control_10.03.04 nuclear and chromosomal cycle_10.03.04.05 chromosome segregation/division"	";DIM1;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU08443"	"related to transcription activator"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_01.05.25 regulation of C-compound and carbohydrate metabolism_11 TRANSCRIPTION_11.02 RNA synthesis_11.02.03 mRNA synthesis_11.02.03.04 transcriptional control"	";Zn_clus;Fungal_trans;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU08428"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Sugar_tr;DUF81;MFS_1;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"B_Evol"
"NCU07510"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";ELK;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU07511"	"related to tol protein"	"34 INTERACTION WITH THE ENVIRONMENT_34.11 cellular sensing and response to external stimulus_34.11.03 chemoperception and response_34.11.03.07 pheromone response, mating-type determination, sex-specific proteins"	";HET;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"N_Evol"
"NCU07512"	"related to tyrosine kinase A6"	"14 PROTEIN FATE (folding, modification, destination)_14.07 protein modification_14.07.03 modification by phosphorylation, dephosphorylation, autophosphorylation"	";Cofilin_ADF;Cofilin_ADF;PIP5K;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"F_Evol"
"NCU07513"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU07517"	"related to C4-dicarboxylate transport protein"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.03 C-compound and carbohydrate transport_20.01.03.03 C4-dicarboxylate transport (e.g. malate, succinate, fumarate)_20.09 transport routes_20.09.18 cellular import_20.09.18.07 non-vesicular cellular import_70 SUBCELLULAR LOCALIZATION_70.02 eukaryotic plasma membrane / membrane attached"	";HlyIII;7TMR-DISM_7TM;C4dic_mal_tran;MARVEL;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU07518"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU07526"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU07527"	"related to heterokaryon incompatibility protein (het-6)"	"34 INTERACTION WITH THE ENVIRONMENT_34.11 cellular sensing and response to external stimulus_34.11.03 chemoperception and response_34.11.03.07 pheromone response, mating-type determination, sex-specific proteins"	";HET;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU07539"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";2OG-FeII_Oxy;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU07568"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";HMG_box;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU07573"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU07774"	"probable GTP cyclohydrolase I"	"01 METABOLISM_01.07 metabolism of vitamins, cofactors, and prosthetic groups_01.07.01 biosynthesis of vitamins, cofactors, and prosthetic groups"	";GTP_cyclohydroI;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU07779"	"related to CCR4 protein"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_01.05.25 regulation of C-compound and carbohydrate metabolism"	";LRR_1;LRR_1;LRR_1;Exo_endo_phos;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"B_Evol"
"NCU07789"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU07791"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Thioesterase;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU07739"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Cytochrom_B561;MFS_1;Cytochrom_B_N;7TMR-DISM_7TM;DUF554;Tetraspannin;ELO;"	"Non-secretory protein"	"B_Evol"	"B_Evol"	"B_Evol"
"NCU07758"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU07666"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";DUF1014;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"B_Evol"
"NCU07668"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";MFS_1;Sugar_tr;"	"Non-secretory protein"	"B_Evol"	"A_Evol"	"F_Evol"
"NCU07669"	"related to positive transcriptional regulator for purine utilization"	"11 TRANSCRIPTION_11.02 RNA synthesis_11.02.03 mRNA synthesis_11.02.03.04 transcriptional control_11.02.03.04.01 transcription activation"	";Fungal_trans;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU07675"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU07680"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";LysM;Arv1;GATA;"	"Non-secretory protein"	"E_Evol"	"A_Evol"	"F_Evol"
"NCU07682"	"amino-acid N-acetyltransferase ARG-14"	"01 METABOLISM_01.01 amino acid metabolism"	";DUF619;DUF1287;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU07692"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	";zf-BED;Zn_clus;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU07694"	"related to pathogenesis-related protein NtPRp27"	"32 CELL RESCUE, DEFENSE AND VIRULENCE_32.05 disease, virulence and defense_32.05.05 virulence, disease factors"	";BSP;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"B_Evol"
"NCU07699"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";PWI;zf-CCCH;RRM_1;PAM2;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU07710"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";DEP;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU07711"	"related to Ca2+-transport (H+/Ca2+ exchange) protein"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.01 ion transport_20.01.01.01 cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.)_20.09 transport routes_20.09.13 vacuolar/lysosomal transport_34 INTERACTION WITH THE ENVIRONMENT_34.01 homeostasis_34.01.01 homeostasis of cations_34.01.01.01 homeostasis of metal ions (Na, K, Ca etc.)_34.01.01.03 homeostasis of protons_70 SUBCELLULAR LOCALIZATION_70.25 vacuole or lysosome"	";TatC;Bac_export_1;MVIN;PHO4;MFS_1;YibE_F;DUF81;Na_Ca_ex;Xan_ur_permease;DUF368;DUF1538;Glt_symporter;Na_Ca_ex;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"B_Evol"
"NCU07713"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";DnaJ;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"A_Evol"
"NCU07718"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Acetyltransf_1;FR47;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU07720"	"related to ethionine resistance protein"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.27 drug/toxin transport_32 CELL RESCUE, DEFENSE AND VIRULENCE_32.07 detoxification_32.07.05 detoxification by export"	";H_PPase;Polysacc_synt;MatE;Nodulin-like;DUF112;MatE;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU07722"	"probable RIO2 protein"	"11 TRANSCRIPTION_11.04 RNA processing_11.04.01 rRNA processing_12 PROTEIN SYNTHESIS_12.01 ribosome biogenesis"	";Rio2_N;APH;RIO1;Kdo;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU07724"	"related to CAF4 protein"	"11 TRANSCRIPTION_11.02 RNA synthesis_11.02.03 mRNA synthesis_11.02.03.04 transcriptional control_16 PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic)_16.01 protein binding"	";Prefoldin_2;WD40;WD40;WD40;WD40;WD40;WD40;"	"Non-secretory protein"	"B_Evol"	"B_Evol"	"B_Evol"
"NCU08926"	"related to sporulation protein SPO72"	"43 CELL TYPE DIFFERENTIATION_43.01 fungal/microorganismic cell type differentiation_43.01.03 fungal and other eukaryotic cell type differentiation_43.01.03.09 development of asco- basidio- or zygospore"	";ATG_C;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU08938"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";HhH-GPD;"	"Non-secretory protein"	"E_Evol"	"F_Evol"	"F_Evol"
"NCU08942"	"related to DNA-damage repair protein DRT111 precursor"	"10 CELL CYCLE AND DNA PROCESSING_10.01 DNA processing_10.01.05 DNA recombination and DNA repair"	";DUF1421;G-patch;RRM_1;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU08946"	"probable prohibitin PHB1"	"10 CELL CYCLE AND DNA PROCESSING_10.01 DNA processing_10.01.03 DNA synthesis and replication_10.03 cell cycle_10.03.01 mitotic cell cycle and cell cycle control"	";DUF1432;Band_7;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU08961"	"related to vacuolar protein VAC7"	"14 PROTEIN FATE (folding, modification, destination)_14.04 protein targeting, sorting and translocation_70 SUBCELLULAR LOCALIZATION_70.25 vacuole or lysosome"	";Extensin_2;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU08968"	"probable rRNA (adenine-N6,N6-)-dimethyltransferase"	"11 TRANSCRIPTION_11.02 RNA synthesis_11.02.01 rRNA synthesis_12 PROTEIN SYNTHESIS_12.01 ribosome biogenesis"	";RrnaAD;Methyltransf_11;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU08969"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	";MAP7;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU07891"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Exo_endo_phos;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU07903"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";NAF1;Gar1;GRP;"	"Signal peptide"	"B_Evol"	"B_Evol"	"B_Evol"
"NCU07912"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU07918"	"related to oxytetracycline exporter (multidrug resistance protein)"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.27 drug/toxin transport_32 CELL RESCUE, DEFENSE AND VIRULENCE_32.05 disease, virulence and defense_32.05.01 resistance proteins_32.07 detoxification_32.07.05 detoxification by export"	";DUF1144;TRI12;OPT;Sugar_tr;MFS_1;BT1;BacA;PsbJ;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU07925"	"related to LRP16 protein"	"98 CLASSIFICATION NOT YET CLEAR-CUT"	";A1pp;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"B_Evol"
"NCU07927"	"related to PET8 protein, member of the mitochondrial carrier (MCF) family"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.03 transport facilities_20.09 transport routes_20.09.04 mitochondrial transport_70 SUBCELLULAR LOCALIZATION_70.16 mitochondrion"	";Mito_carr;Mito_carr;Mito_carr;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"B_Evol"
"NCU01703"	"related to D-xylose reductase II,III protein"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism"	";Aldo_ket_red;Transposase_31;"	"Non-secretory protein"	"F_Evol"	"N_Evol"	"N_Evol"
"NCU01702"	"related to nucleoporin-interacting protein NIC96"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.09 transport routes_20.09.01 nuclear transport_70 SUBCELLULAR LOCALIZATION_70.10 nucleus"	";NIC;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU01699"	"putative protein"	"99 UNCLASSIFIED PROTEINS"	";Cu_bind_like;"	"Signal peptide"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01647"	"related to GTP-binding protein rab2"	"16 PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic)_16.19 nucleotide/nucleoside/nucleobase binding_16.19.05 GTP binding_30 CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM_30.01 cellular signalling"	";Arf;MMR_HSR1;Miro;Ras;ATP_bind_1;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01768"	"conserved hypothetical protein"	"98 CLASSIFICATION NOT YET CLEAR-CUT"	"NULL"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01753"	"related to gamma-glutamyltransferase"	"01 METABOLISM_01.01 amino acid metabolism_01.20 secondary metabolism_01.20.37 metabolism of peptide derived compounds"	";G_glu_transpept;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01669"	"related to protein arginine N-methyltransferase 3"	"14 PROTEIN FATE (folding, modification, destination)_14.07 protein modification"	";PrmA;UPF0184;MTS;TehB;Methyltransf_11;Methyltransf_12;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01777"	"related to suppressor protein PSP1"	"98 CLASSIFICATION NOT YET CLEAR-CUT"	";PSP1;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01782"	"related to aimless RasGEF (aleA)"	"30 CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM_30.01 cellular signalling_34 INTERACTION WITH THE ENVIRONMENT_34.11 cellular sensing and response to external stimulus_34.11.03 chemoperception and response_34.11.03.03 chemotaxis"	";MMR_HSR1;Miro;Ras;ATP_bind_1;RasGEF_N;RasGEF;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01784"	"related to pseudouridine synthase 3"	"11 TRANSCRIPTION_11.02 RNA synthesis_11.02.02 tRNA synthesis_11.06 RNA modification_11.06.02 tRNA modification"	";PseudoU_synth_1;PseudoU_synth_1;"	"Non-secretory protein"	"E_Evol"	"F_Evol"	"F_Evol"
"NCU01788"	"related to C4-dicarboxylate transport protein mae1"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.03 C-compound and carbohydrate transport"	";Herpes_LMP2;C4dic_mal_tran;7tm_4;CTP_transf_1;"	"Non-secretory protein"	"O_Evol"	"F_Evol"	"F_Evol"
"NCU01551"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01838"	"related to aliphatic nitrilase"	"01 METABOLISM_01.02 nitrogen, sulfur and selenium metabolism_01.02.02 nitrogen metabolism_01.02.02.09 catabolism of nitrogenous compounds"	";CN_hydrolase;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"O_Evol"
"NCU01833"	"related to two-component histidine kinase chk-1"	"34 INTERACTION WITH THE ENVIRONMENT_34.11 cellular sensing and response to external stimulus"	";Extensin_2;PAS;PAS_4;PAS_3;HisKA;HATPase_c;Response_reg;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01535"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"N_Evol"
"NCU01540"	"related to PHO87 protein"	"01 METABOLISM_01.04 phosphate metabolism_20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.01 ion transport_20.01.01.07 anion transport_20.01.01.07.07 phosphate transport_20.03 transport facilities_34 INTERACTION WITH THE ENVIRONMENT_34.01 homeostasis_34.01.03 homeostasis of anions_34.01.03.03 homeostasis of phosphate"	";V_ATPase_I;SPX;Na_H_antiporter;CTP_transf_1;DUF805;Na_sulph_symp;MFS_1;DUF1646;CitMHS;CobS;ABC-3;PHO4;DUF1538;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01542"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";HbrB;GRP;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01548"	"related to serine proteinase inhibitor IA-2"	"14 PROTEIN FATE (folding, modification, destination)_14.13 protein/peptide degradation"	";Subtilisin_N;"	"Signal peptide"	"B_Evol"	"A_Evol"	"F_Evol"
"NCU01738"	"negative regulatory factor PREG PREG"	"01 METABOLISM_01.04 phosphate metabolism_01.04.04 regulation of phosphate metabolism_11 TRANSCRIPTION_11.02 RNA synthesis_11.02.03 mRNA synthesis_11.02.03.04 transcriptional control"	";Cyclin;Cyclin_N;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU01717"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";MgtC;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"N_Evol"
"NCU01620"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"N_Evol"	"N_Evol"
"NCU01613"	"related to SHK1 KINASE-BINDING protein"	"16 PROTEIN WITH BINDING FUNCTION OR COFACTOR REQUIREMENT (structural or catalytic)_16.01 protein binding_30 CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION MECHANISM_30.01 cellular signalling"	";PRMT5;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"F_Evol"
"NCU01610"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU01514"	"probable dicarboxylate carrier protein"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.03 C-compound and carbohydrate transport_20.03 transport facilities_70 SUBCELLULAR LOCALIZATION_70.16 mitochondrion"	";Mito_carr;Mito_carr;Mito_carr;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU01499"	"related to hsp70 protein"	"14 PROTEIN FATE (folding, modification, destination)_14.01 protein folding and stabilization_32 CELL RESCUE, DEFENSE AND VIRULENCE_32.01 stress response"	";HSP70;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU07979"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU07992"	"related to transcription factor spt3"	"11 TRANSCRIPTION_11.02 RNA synthesis_11.02.03 mRNA synthesis_11.02.03.04 transcriptional control_70 SUBCELLULAR LOCALIZATION_70.10 nucleus"	";TFIID-18kDa;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"N_Evol"
"NCU07993"	"related to leucine carboxyl methyltransferase"	"14 PROTEIN FATE (folding, modification, destination)_14.07 protein modification"	";LCM;Omt_N;"	"Non-secretory protein"	"B_Evol"	"F_Evol"	"F_Evol"
"NCU08033"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU08023"	"conserved hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	";Sec7;"	"Non-secretory protein"	"E_Evol"	"B_Evol"	"F_Evol"
"NCU08022"	"related to tRNA nucleotidyltransferase"	"11 TRANSCRIPTION_11.06 RNA modification_11.06.02 tRNA modification"	";PolyA_pol;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"A_Evol"
"NCU08020"	"related to DNA mismatch repair protein PMS1"	"10 CELL CYCLE AND DNA PROCESSING_10.01 DNA processing_10.01.05 DNA recombination and DNA repair_10.01.05.01 DNA repair_70 SUBCELLULAR LOCALIZATION_70.10 nucleus"	";HATPase_c;MutL_C;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"F_Evol"
"NCU08019"	"related to tol protein"	"34 INTERACTION WITH THE ENVIRONMENT_34.11 cellular sensing and response to external stimulus_34.11.03 chemoperception and response_34.11.03.07 pheromone response, mating-type determination, sex-specific proteins"	";HET;"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU08016"	"hypothetical protein"	"99 UNCLASSIFIED PROTEINS"	"NULL"	"Non-secretory protein"	"N_Evol"	"N_Evol"	"N_Evol"
"NCU08012"	"related to exocyst complex 70 kDa component"	"20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.09 transport routes_20.09.16 cellular export and secretion_70 SUBCELLULAR LOCALIZATION_70.03 cytoplasm"	";Exo70;"	"Non-secretory protein"	"F_Evol"	"F_Evol"	"F_Evol"
"NCU08126"	"probable D-lactate dehydrogenase (cytochrome)"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism_02 ENERGY_02.16 fermentation_02.16.03 lactate fermentation_20 CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES_20.01 transported compounds (substrates)_20.01.15 electron transport_70 SUBCELLULAR LOCALIZATION_70.16 mitochondrion"	";FAD_binding_4;FAD-oxidase_C;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"E_Evol"
"NCU08133"	"related to carbonate dehydratase"	"01 METABOLISM_01.05 C-compound and carbohydrate metabolism"	";Pro_CA;"	"Non-secretory protein"	"E_Evol"	"E_Evol"	"O_Evol"
